model,seed,split,condition_id,group,missing_modalities,requested_rate,position,duration,effective_missing_rate,base_valid_bins,remaining_valid_bins,effective_missing_rate_text,remaining_ratio_text,effective_missing_rate_audio,remaining_ratio_audio,effective_missing_rate_vision,remaining_ratio_vision,accuracy,macro_f1,mae,rmse,pearson,f1_negative,f1_neutral,f1_positive,valid_sample_count
robust,42,test,rate__text+audio+vision__r0p10__random__medium,rate,text+audio+vision,0.1,random,medium,0.10053926855574076,50995,45868,0.10066087716423616,0.8993391228357638,0.10050430139424503,0.899495698605755,0.1004358537047565,0.8995641462952435,0.6588720770288858,0.6018493266016897,0.6644984905581096,0.905734404852368,0.6269187834327221,0.6584766584766584,0.3941605839416058,0.7529107373868046,727
robust,42,valid,rate__text+audio+vision__r0p20__random__medium,rate,text+audio+vision,0.2,random,medium,0.20082393254533554,51946,41514,0.20050461670603392,0.7994953832939661,0.20086418311339485,0.7991358168866052,0.20114871541501977,0.7988512845849802,0.6208791208791209,0.5944220103340734,0.5935721286447145,0.8055852564692377,0.6379540855029385,0.6424870466321243,0.441340782122905,0.6994382022471909,728
robust,42,test,rate__text+audio+vision__r0p20__random__medium,rate,text+audio+vision,0.2,random,medium,0.20092165898617512,50995,40749,0.19979245179966137,0.8002075482003387,0.2016018985464254,0.7983981014535746,0.20150337944539196,0.798496620554608,0.6602475928473177,0.6060178298626022,0.654608955627315,0.8952785489887364,0.6352506258284489,0.6582278481012658,0.4013840830449827,0.7584415584415584,727
robust,42,valid,rate__text+audio+vision__r0p30__random__medium,rate,text+audio+vision,0.3,random,medium,0.2992530704962846,51946,36401,0.29869014386944387,0.7013098561305562,0.29966133364475067,0.7003386663552493,0.29946887351778656,0.7005311264822134,0.5769230769230769,0.5539024146278032,0.6070712856592734,0.8164388795610988,0.6272546562372924,0.6373056994818653,0.37297297297297294,0.6514285714285715,728
robust,42,test,rate__text+audio+vision__r0p30__random__medium,rate,text+audio+vision,0.3,random,medium,0.29918619472497304,50995,35738,0.2995248238571194,0.7004751761428806,0.2989617324236132,0.7010382675763869,0.29903354178510516,0.7009664582148948,0.656121045392022,0.6044220209655565,0.6547698836576352,0.8821934551119406,0.6473504440004069,0.6599999999999999,0.3986486486486487,0.754617414248021,727
robust,42,valid,rate__text+audio+vision__r0p40__random__medium,rate,text+audio+vision,0.4,random,medium,0.39970353828976246,51946,31183,0.40031135924414857,0.5996886407558514,0.3993927361905874,0.6006072638094125,0.39933300395256915,0.6006669960474308,0.5686813186813187,0.5448995265917582,0.6181781543764173,0.8482393948380577,0.5868999386406438,0.599483204134367,0.3829787234042554,0.6522366522366522,728
robust,42,test,rate__text+audio+vision__r0p40__random__medium,rate,text+audio+vision,0.4,random,medium,0.3999019511716835,50995,30602,0.4000764651264406,0.5999235348735594,0.3998813408484129,0.600118659151587,0.39972206430421325,0.6002779356957868,0.6162310866574966,0.5694683613575129,0.6952041405428616,0.9408944679787415,0.5841427262970149,0.6397984886649873,0.3630363036303631,0.7055702917771883,727
robust,42,valid,position__text__r0p30__prefix__medium,position,text,0.3,prefix,medium,0.1071112308936203,51946,46382,0.29869014386944387,0.7013098561305562,0.0,1.0,0.0,1.0,0.6346153846153846,0.5933067005776437,0.5976592377953969,0.814979348397008,0.6283810922298031,0.6567164179104478,0.402555910543131,0.7206477732793524,728
robust,42,test,position__text__r0p30__prefix__medium,position,text,0.3,prefix,medium,0.10753995489753898,50995,45511,0.2995248238571194,0.7004751761428806,0.0,1.0,0.0,1.0,0.6740027510316369,0.6143896478198804,0.6344312845154101,0.8594583959550011,0.670262267301142,0.6971153846153846,0.3863636363636364,0.7596899224806202,727
robust,42,valid,position__text__r0p30__middle__medium,position,text,0.3,middle,medium,0.1071112308936203,51946,46382,0.29869014386944387,0.7013098561305562,0.0,1.0,0.0,1.0,0.6071428571428571,0.579601734653625,0.6057589450776883,0.8127802503227499,0.6319006721820788,0.6351706036745407,0.40871934604904636,0.6949152542372881,728
