variant,id,main_modality,aligned_bin,occlusion_drop,positive_occlusion_drop,normalized_local_importance
aligned,02,text,24,-5.960464477539063e-08,0.0,0.0
aligned,02,text,25,-5.960464477539063e-08,0.0,0.0
aligned,02,text,26,-5.960464477539063e-08,0.0,0.0
aligned,02,text,27,-5.960464477539063e-08,0.0,0.0
aligned,02,text,28,-5.960464477539063e-08,0.0,0.0
aligned,02,text,29,-5.960464477539063e-08,0.0,0.0
aligned,02,text,30,-5.960464477539063e-08,0.0,0.0
aligned,02,text,31,-5.960464477539063e-08,0.0,0.0
aligned,02,text,32,-5.960464477539063e-08,0.0,0.0
aligned,02,text,33,-5.960464477539063e-08,0.0,0.0
aligned,02,text,34,-5.960464477539063e-08,0.0,0.0
aligned,02,text,35,-5.960464477539063e-08,0.0,0.0
aligned,02,text,36,-5.960464477539063e-08,0.0,0.0
aligned,02,text,37,-5.960464477539063e-08,0.0,0.0
aligned,02,text,38,-5.960464477539063e-08,0.0,0.0
aligned,02,text,39,-5.960464477539063e-08,0.0,0.0
aligned,02,text,40,-5.960464477539063e-08,0.0,0.0
aligned,02,text,41,-5.960464477539063e-08,0.0,0.0
aligned,02,text,42,-5.960464477539063e-08,0.0,0.0
aligned,02,text,43,-5.960464477539063e-08,0.0,0.0
aligned,02,text,44,-5.960464477539063e-08,0.0,0.0
aligned,02,text,45,-5.960464477539063e-08,0.0,0.0
aligned,02,text,46,-5.960464477539063e-08,0.0,0.0
aligned,02,text,47,-5.960464477539063e-08,0.0,0.0
aligned,02,text,48,-5.960464477539063e-08,0.0,0.0
aligned,02,text,49,-5.960464477539063e-08,0.0,0.0
aligned,03,text,0,0.012612849473953247,0.012612849473953247,0.022620526565677628
aligned,03,text,1,-0.015589475631713867,0.0,0.0
aligned,03,text,2,-0.025063514709472656,0.0,0.0
aligned,03,text,3,0.0007671117782592773,0.0007671117782592773,0.0013757773288892983
aligned,03,text,4,-0.006222784519195557,0.0,0.0
aligned,03,text,5,0.004447966814041138,0.004447966814041138,0.007977210200442847
aligned,03,text,6,-0.010778933763504028,0.0,0.0
aligned,03,text,7,-0.023127496242523193,0.0,0.0
aligned,03,text,8,-0.04196310043334961,0.0,0.0
aligned,03,text,9,-0.02066519856452942,0.0,0.0
aligned,03,text,10,-0.021244823932647705,0.0,0.0
aligned,03,text,11,-0.025706768035888672,0.0,0.0
aligned,03,text,12,-0.014962643384933472,0.0,0.0
aligned,03,text,13,-0.019029706716537476,0.0,0.0
aligned,03,text,14,0.0130423903465271,0.0130423903465271,0.023390887041251886
aligned,03,text,15,-0.007267743349075317,0.0,0.0
aligned,03,text,16,-0.022084206342697144,0.0,0.0
aligned,03,text,17,-0.004710137844085693,0.0,0.0
aligned,03,text,18,0.02294066548347473,0.02294066548347473,0.041142957749151325
aligned,03,text,19,0.00965738296508789,0.00965738296508789,0.017320042419266483
aligned,03,text,20,0.05758941173553467,0.05758941173553467,0.10328378379172891
aligned,03,text,21,0.054566025733947754,0.054566025733947754,0.09786148936821835
aligned,03,text,22,0.006739586591720581,0.006739586591720581,0.01208711781223825
aligned,03,text,23,0.036834120750427246,0.036834120750427246,0.06606018795983179
aligned,03,text,24,0.06612223386764526,0.06612223386764526,0.11858698154400593
aligned,03,text,25,0.041318684816360474,0.041318684816360474,0.07410303353556119
aligned,03,text,26,0.03872796893119812,0.03872796893119812,0.06945671173290592
aligned,03,text,27,0.01132550835609436,0.01132550835609436,0.02031174344606993
aligned,03,text,28,0.0575408935546875,0.0575408935546875,0.1031967688153718
aligned,03,text,29,-0.0026174187660217285,0.0,0.0
aligned,03,text,30,0.012135535478591919,0.012135535478591919,0.021764487338813174
aligned,03,text,31,0.06343075633049011,0.06343075633049011,0.11375994866330191
aligned,03,text,32,0.03739893436431885,0.03739893436431885,0.06707315345855401
