model,split,condition_id,group,missing_modalities,requested_rate,position,duration,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,rmse_mean,rmse_sd,pearson_mean,pearson_sd,f1_negative_mean,f1_negative_sd,f1_neutral_mean,f1_neutral_sd,f1_positive_mean,f1_positive_sd,effective_missing_rate_mean,effective_missing_rate_sd
baseline,test,rate__text+audio__r0p10__random__medium,rate,text+audio,0.1,random,medium,0.6597890875745072,0.014836029057646482,0.6241148198901966,0.0004607396303964587,0.6493383497845233,0.0078026429996591795,0.873879514045479,0.003966859580177132,0.660239910537432,0.004949479941244653,0.6811391223155928,0.0127083637617331,0.4498354373586034,0.0236501742580977,0.7413698999963935,0.01913320178623727,0.06935974115109324,0.0
baseline,test,rate__text+audio__r0p20__random__medium,rate,text+audio,0.2,random,medium,0.6414488766620816,0.02132419248827785,0.60840647988182,0.008985115900360208,0.6773526696445561,0.0059759939258874715,0.9108859269049145,0.012341514962206604,0.621855359610934,0.01515579033286123,0.6539802372325633,0.00786720660654244,0.4499316841013736,0.005985713756540387,0.721307518311523,0.02179680903747386,0.1383665065202471,0.0
baseline,test,rate__text+audio__r0p30__random__medium,rate,text+audio,0.3,random,medium,0.6322787712058688,0.015942538881901596,0.6006194084029436,0.010787207088941401,0.6912832123123652,0.013832241482332348,0.9323571528055946,0.011871666396364626,0.5976285400896238,0.009975112718707695,0.6376405845739456,0.027142732874029254,0.4470173911950677,0.020715174404164746,0.7172002494398173,0.016909932717660364,0.20635356407490932,0.0
baseline,test,rate__text+audio__r0p40__random__medium,rate,text+audio,0.4,random,medium,0.6038514442916093,0.027094519399714145,0.5750367454090276,0.011577233743596491,0.7298150122240834,0.021080687508992065,0.9827227381901796,0.018424919479609423,0.5363945462997854,0.019617615769359286,0.5961733641980445,0.03223263247395747,0.43719423071619645,0.028709150121408507,0.6917426413128419,0.03639228583661045,0.27581135405431906,0.0
baseline,test,rate__text+vision__r0p10__random__medium,rate,text+vision,0.1,random,medium,0.6607060981201284,0.015151500817843474,0.6192878111873215,0.007346345636913736,0.6451450972269123,0.004718107053059514,0.8670569954057732,0.005704922221272935,0.6659215327437878,0.0019780415195814072,0.6938207154415709,0.017283620052222674,0.42006086926100156,0.04253710403202597,0.7439818488593918,0.022459310604364822,0.06732032552211001,0.0
baseline,test,rate__text+vision__r0p20__random__medium,rate,text+vision,0.2,random,medium,0.6405318661164604,0.01897680154660698,0.6060797163491226,0.01592401803903244,0.6705923386593681,0.012650076523067481,0.9023842457231973,0.006649978466802036,0.6305583967956746,0.009505153971382251,0.6578458135285875,0.012368163293492971,0.43689440403175966,0.05954849450487605,0.7234989314870207,0.029638078924126964,0.1342876752622806,0.0
baseline,test,rate__text+vision__r0p30__random__medium,rate,text+vision,0.3,random,medium,0.6304447501146263,0.017740066136774972,0.6008567980941751,0.016165922357510763,0.6905739161423767,0.012828789570477887,0.9330831448853205,0.016386740012264235,0.5979848949757852,0.020359857860454016,0.6266597279674059,0.032753832337942844,0.4606325837334007,0.02684965578093509,0.7152780825817189,0.022353399986201204,0.2003725855476027,0.0
baseline,test,rate__text+vision__r0p40__random__medium,rate,text+vision,0.4,random,medium,0.5832187070151308,0.03436037413149048,0.5521979351700893,0.022878646440429338,0.725755241811822,0.022567260380269513,0.9727451496211296,0.03202513029199401,0.5496050060802627,0.03829664861311437,0.5769474924114099,0.04097551658985743,0.40021608278022075,0.03362585271089617,0.6794302303186374,0.04430745195269437,0.26773213060103934,0.0
baseline,test,rate__text__r0p10__random__medium,rate,text,0.1,random,medium,0.6685006877579092,0.01798720334335906,0.6314248222030933,0.00416965071643328,0.6472082381085046,0.014524817137771566,0.8669739876536863,0.023475079806186745,0.6655118491020038,0.017666065116007334,0.6968307154085261,0.009729606180928914,0.4510154219132548,0.016341607316407793,0.7464283292874985,0.02357345432037613,0.03614079811746249,0.0
baseline,test,rate__text__r0p20__random__medium,rate,text,0.2,random,medium,0.640990371389271,0.037443349625354026,0.6055111485080928,0.021439340476480825,0.6778802091037152,0.013516845937687247,0.9059156005527941,0.01351889646264954,0.6279522499003868,0.006299562331455419,0.658545577271292,0.021433515416218962,0.43406850620692966,0.01083597894500905,0.7239193620460568,0.04476025640657137,0.07173252279635259,0.0
